,rx_sign,Count,gridRef
382,W2NAF-3,39,FN21ei
300,ON4WVC,38,JO21oa
355,S59DGO,37,JN75cn
37,DF7II,36,JO62nj
96,DO3BOX,35,JO30gu
148,G4ENZ,35,IO81vv
75,DL2PK,34,JO31ik
98,DO6LSM,33,JO44tm
83,DL4EAI,32,JO31je
90,DL8YCA,31,JO31pl
225,KX4O,30,FM18cp
60,DK8JP,30,JO31gk
258,N1DQ-1,30,FN42hn
125,F4WCW,30,JN05lp
119,F4VTQ/F,29,JN28ux
267,NL13951,29,JO21ev
203,K1RA,28,FM18cr
115,F4KKF,28,JN23mn
241,M1JKL,27,IO82tc
168,GM1OXB,27,IO87lp
95,DN9DSF,27,JN59mu
264,N3EYQ,26,FN21xv
136,G0VOK,25,IO83rg
107,EC5M,25,IM98ro
371,UB3AQI,25,KO85vt
54,DK5HH,24,JO43jb
275,OE9BKJ,24,JN47ul
206,K3GMQ,23,FN20lh
44,DH2RAL,22,JO41lu
41,DG1DBX,22,JO31wd
394,YO4KMU,22,KN43gw
224,KV4TT,21,FM03pt
71,DL1GCD/1,20,JN58oh
207,K3GMQ/SAS,20,FN20lh
141,G3XUP,20,IO90wx
21,DC1UI,20,JN49aq
235,M0LLP,19,IO87wc
46,DJ2MG,19,JN48nt
369,TOLYAN,19,KO40ns
343,PD3RFR,18,JO22md
167,GM0UDL,18,IO77vo
86,DL4XJ,18,JO42un
27,DD0MS,17,JN49ab
378,W1/AJ8S,17,FN44mf
137,G0WZM/A,17,IO91ui
286,OH3N0CALL,16,KP20gs
377,VK5ARG,15,PF95ht
22,DC1UL,15,JO41lv
48,DJ7RL,15,JO43vn
334,PA5UKW,15,JO33ci
66,DL0HT,15,JO43jb
310,PA0GHH,14,JO22lj
243,M5ADL,14,IO80xs
272,OE3MUC,14,JN78sk
88,DL5UY,14,JN48ft
33,DF1GP,13,JN59ll
104,EA7CL,13,IM76sr
172,GM4EIW,13,IO75xw
10,AB1KW,13,FN43fe
139,G1MUM,12,IO91cn
372,UR5NLA,12,KN49ff
237,M0UNI,12,IO82rw
319,PA11322,12,JO21ct
64,DK9PA,12,JO62pl
36,DF6DBF,12,JO31si
305,OPENWEBRXNL,12,JO22jp
211,K5MO,12,FM05
226,LA1HAX,12,JO59jw
178,HB9AK,12,JN36pv
111,F1GAL,11,JN33bc
307,OZ2JBR,11,JO65di
208,K3LR,11,EN91se
387,WF1L/B,11,FM29fc
4,2E0SHD,11,IO83ss
9,AB1BZ,10,FN42ht
